,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"@potato_krieger @ilkin_temocin @instantbrei Gefühl jede Woche kommt ein neuer ""Bitcoin-Killer"" auf den Markt. Wir B… https://t.co/y2lVP9EYDp"," _         _             ü                              ""       -      ""              .      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,@instantbrei @ilkin_temocin @Not_Funny Blockchain da stimme ich dir zu das wird für gravierende Änderungen im Finan… https://t.co/ZjIwx1xxyp,   _         _                                                ü              ä                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,@barsforlife @MarScho4711 sei froh! Bald steht dir ein komplett neuer Billa Markt zur Verfügung!,                !                                                       ü    !,0.0,0.0,neutral,0.0,0.0,0.0,0.0
3,"RT @DingsGt: Wäre schön, wenn der Test zeitnah auf den deutschen Markt kommt! @Karl_Lauterbach https://t.co/mDcuzhRPT7","  ä      ö ,                                                    !  _                :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,"Wäre schön, wenn der Test zeitnah auf den deutschen Markt kommt! @Karl_Lauterbach https://t.co/mDcuzhRPT7"," ä      ö ,                                                    !  _                :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,"#LeinfeldenEchterdingen #Stuttgart 

Zündelnde Kinder haben am Dienstagnachmittag einen Abfallbehälter in #Brand ge… https://t.co/tpNY3K0RRp","#                       #          

 ü                                                          ä        #        …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,"RT @uheyden: Am 13. Juni behauptet die ""Tagesschau"" in ihrer 20-Uhr-Sendung Russland habe den Markt von Donezk angegriffen (Minute 5:56). W…","      .                    ""          ""            -   -                                                       (        :  ).  …",0.5,1.0,neutral,0.0,1.0,0.0,0.0
7,"Freitag vormittag kommt unser neuer Verkaufsleiter in den Markt. Heute war eigtl mein letzter Tag vorm Urlaub.
Wer… https://t.co/B5REfyWEeT","                                                               .                                             .
   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
8,@markermeIon Neuer wecker,              ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
10,@TiloBMG Der Markt wird auch nicht viel mehr für uns hergegeben haben. Und da bald Vorbereitung losgeht war ein neuer tw wichtig,                                       ü                      .                                                          ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
11,Hilti aus Schaan bringt eine neue Version des mobilen Bohrroboters Jaibot auf den Markt. Eine Reihe neuer Funktione… https://t.co/pJtQ3OQ4uc,                                                                                       .                           …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,"@gurulante Man kann natürlich langfristig investieren, aber auch solche Investitionen können sich irgendwann als we… https://t.co/kqzXD4v30o","              ü                             ,                                 ö                           …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
13,"Wie können Wirtschaft &amp; Gesellschaft gestaltet werden, damit sie bei zukünftigen Krisen nicht zerbrechen?… https://t.co/kz8cHUOm7O","     ö                &   ;                              ,                  ü                               ?…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,Neuer Gegner von Rapper Kanye West (45) ist Adidas. Der Sportgigant hat die neuen Adiletten 22 auf den Markt geworf… https://t.co/goDEf54dnV,                                   (  )           .                                                                …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
16,"RT @KnoxRotzloffel: DRITTE WAHL mit neuer Single „Das regelt der Markt“
Der erste Vorbote von einem neuen Album?
https://t.co/OjBQ1v8dMT","                              „                    “
                                       ?
     :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
18,"DRITTE WAHL mit neuer Single „Das regelt der Markt“
Der erste Vorbote von einem neuen Album?
https://t.co/OjBQ1v8dMT","                             „                    “
                                       ?
     :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,RT @C_Cassala: Ein neuer Artikel ist gerade online gegangen! 🤙  re:cap Gründer Becker: „Turbulenzen am Markt sind eine Chance“ zu lesen unt…,                                             ! 🤙    :      ü           : „                                     “             …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
22,Ein neuer Artikel ist gerade online gegangen! 🤙  re:cap Gründer Becker: „Turbulenzen am Markt sind eine Chance“ zu… https://t.co/ftoUu7VxrF,                                            ! 🤙    :      ü           : „                                     “   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
